gene_id	n_tissues_used	corr_domFrac_vs_logExpr	corr_entropy_vs_logExpr	median_gene_tpm	dominant_isoform_switch_range	isoform_entropy_range	n_isoforms
ENSG00000003987	30	0.5332694044107599	-0.3887212158597786	2.135	0.2461207394826468	0.7379915294668592	7
ENSG00000003989	47	0.3485136371324253	-0.08957039349870377	6.059999999999999	0.4741627677911845	0.7890934736502625	6
ENSG00000004059	54	-0.15238869358352577	0.1809426080164862	96.7325	0.01658914094209807	0.08596589379273091	3
ENSG00000004139	50	-0.4961254888908403	0.5351913823924266	2.395	0.42435424354243545	0.9431835360610302	5
ENSG00000004142	54	-0.36999041808765304	0.37619176014752903	46.19	0.015355589317850749	0.06522857007681568	2
ENSG00000004399	53	0.3021001167969189	-0.17883860690222675	19.049999999999997	0.12302709561094505	0.26482637981322577	6
ENSG00000004455	54	0.28184874116257547	-0.1438674698348538	65.5299995	0.4278013878433112	0.5262350241502061	9
ENSG00000004468	28	-0.6594535573122798	0.6507562290576389	1.92	0.38858093126385806	0.9155742324590711	3
ENSG00000004478	54	-0.3481941098832394	0.3672289019479168	28.527499935	0.1821673776352869	0.588405588858187	7
ENSG00000004487	54	0.09240477890381105	0.25649808830036924	25.5625	0.22842692341762233	0.3033038158676652	4
ENSG00000004534	54	0.38447631127769655	0.24195306292657395	87.95000000000002	0.19486215653151104	0.41855657792512035	16
ENSG00000004660	53	0.07480146946344648	-0.0890893728681009	8.07	0.33433301968605716	0.373617802474856	3
ENSG00000004700	54	-0.07282517222481047	0.6194320052886517	8.042499955	0.43286644845194683	0.8538387765944204	8
ENSG00000004766	53	0.1830192247142673	0.08520943189249766	7.6399995999999994	0.3132370278619291	0.7030554963944853	12
ENSG00000004776	52	-0.07278601736928443	0.08540220941139068	70.66250000000001	0.020309365492598874	0.10753996855813129	3
ENSG00000004777	53	0.12085804538119717	0.2817475997572439	10.18	0.20449801873704337	0.3200303864538918	8
ENSG00000004779	54	0.2175962892901411	-0.17231568870268735	75.575	0.04404615505482934	0.19917073944782368	5
ENSG00000004799	53			53.094999999999985	0.0	0.0	1
ENSG00000004838	20	-0.3888530729439563	0.13280986668237782	2.9024999999999994	0.4251621762394052	0.817115732864899	7
ENSG00000004848	12			4.3149999999999995	0.0	0.0	5
ENSG00000004864	54	-0.43751618304459583	0.5187793680107993	9.662499999999998	0.4021118180926534	1.023582085472266	8
ENSG00000004866	53	-0.22684607765994724	0.3029369916597873	10.624999990000001	0.3656097226765765	0.9410287279666558	27
ENSG00000004897	54	-0.5154685586329282	0.7281665101403094	13.762499850000001	0.45289603332737294	1.054836871602449	17
ENSG00000004961	54	-0.2933100525385423	0.5714813883345422	11.010000145000003	0.2645233441277436	0.2721160113690456	3
ENSG00000004975	54	-0.7420962419970031	0.7757598269766953	16.827499997500006	0.18134643041983978	0.5362147475227099	6
ENSG00000005001	17	0.5494935125654279	-0.2843995890275827	4.109999999999999	0.25825269727205996	0.30464038357375234	5
ENSG00000005007	54	-0.04108323919114227	0.26693993390970616	20.729999999999997	0.23154829136243638	0.33302848459407086	8
ENSG00000005020	53	-0.27254399312105165	0.279385315628234	6.999999999999998	0.47809228383094216	1.0302551462614518	8
ENSG00000005022	54	0.062203416654572734	-0.06275280895533647	146.635	0.06145781520276272	0.25641673708228085	4
ENSG00000005059	44	-0.2697822371092565	0.2789170670221745	4.41	0.0771850170261067	0.27183978709910145	3
ENSG00000005073	16	-0.0129584040984797	0.18464867838063403	10.3099995	0.16388467374810323	0.4460557767276596	2
ENSG00000005075	54			49.075	0.0	0.0	1
ENSG00000005100	53	-0.857269850038935	0.879983713944795	4.879999999999999	0.07466150870406185	0.293569231814882	4
ENSG00000005102	25	-0.1484279454564194	0.1720518522865745	2.86	0.20218579234972678	0.5034176854232322	3
ENSG00000005108	18			1.77	0.0	0.0	3
ENSG00000005156	53	-0.45525274277142314	0.6789637653456677	5.275	0.38103412401165215	0.6727467357872936	8
ENSG00000005175	54	-0.15365604368196173	-0.009011215260047419	9.024999900000001	0.43745124044312683	0.6513861495461097	5
ENSG00000005187	33	0.37540329762257796	0.2943984011593184	5.48999995	0.2855663063136973	0.5895036451765627	14
ENSG00000005189	34	0.288732044199561	0.24689492271492763	1.645	0.3521706586826347	0.5575412789781066	17
ENSG00000005194	54	-0.2585556750397851	0.557790403365896	17.975	0.20767276591955064	0.3192506568014237	12
ENSG00000005206	54	-0.45098200976391134	0.5163320169564721	25.735	0.3153565532511929	0.44607506328761204	10
ENSG00000005238	54	-0.28480711568038053	0.42043343850466364	12.257499750000001	0.2823122088557151	0.6520089922020273	9
ENSG00000005243	53	0.7212634505752764	-0.22298784873605804	25.389999999999993	0.3934877786680135	0.4343567512829474	8
ENSG00000005249	50	-0.34629336128469	0.3480166195943081	8.965	0.009846509710598972	0.05529503214316077	3
ENSG00000005302	54	-0.24039324436994652	0.3991189188986551	14.945000000000002	0.5056676728084868	0.9669601247545917	13
