gene_id	n_tissues_used	n_isoforms	dominant_isoform_switch_range	isoform_entropy_range	log1p_gene_expr_range	median_gene_tpm
ENSG00000005810	54	5	0.34544659481024653	0.4250313204397631	2.7630652518452994	19.795
ENSG00000005812	54	6	0.1481351781471829	0.44752373958978175	2.5527387550389893	17.872499995
ENSG00000005844	28	12	0.1433781371797026	0.5403251735707565	3.4930217191567947	2.3049999999999997
ENSG00000005882	54	9	0.5076282321177663	0.8862323377446045	4.137100758027809	25.46
ENSG00000005884	52	7	0.3072553153625678	0.7005137550811273	3.758651458150849	15.725
ENSG00000005889	54	11	0.3570032799353043	0.8109179686102412	2.1273199209673175	6.00499995
ENSG00000005893	54	4	0.4076758163959996	0.5488598311128237	2.2737342926752446	40.545
ENSG00000005961	14	2	0.0	0.0	1.5682335818357793	2.115
ENSG00000005981	7	3	0.2613855970829536	0.5644245248644953	2.830562775577602	1.92
ENSG00000006007	54	4	0.18026673615704825	0.38628477760076624	1.644844517070727	24.240000000000002
ENSG00000006015	54	4	0.26362479424660057	0.35296074009638734	1.735417007292217	37.125
ENSG00000006016	53	4	0.6011616361004439	1.1261618984694353	4.8343798084759015	7.605
ENSG00000006025	53	4	0.18803930117721024	0.5778508002884619	2.1578737320527073	6.4
ENSG00000006042	52	7	0.24253430267016318	0.383854441585026	4.010595408053039	28.560000000000002
ENSG00000006047	21	3	0.37593984962406024	0.6620414536447162	5.863984648472735	1.69
ENSG00000006062	52	3	0.07191780821917804	0.30159794510741694	1.9431722965579747	5.77
ENSG00000006071	28	8	0.3028259830142165	0.5430135176774262	3.810656609017512	7.23
ENSG00000006116	12	1	0.0	0.0	2.9332830715363385	13.620000000000001
ENSG00000006118	52	11	0.20328131252501003	0.38774983018297027	3.895853374761061	8.43249995
ENSG00000006125	54	22	0.35893546258386866	1.1691034088222165	2.119207260061744	42.595
ENSG00000006128	24	3	0.388020491982348	0.5566154245414949	4.245378650774756	6.2575
ENSG00000006194	54	7	0.33654969811075763	0.6081803148676501	1.947699858705285	13.2925
ENSG00000006210	51	4	0.030813600485731563	0.1666792911117008	3.5189449745497456	18.93
ENSG00000006282	54	13	0.5239323046291688	0.721031794045524	4.356366887893303	20.4625
ENSG00000006283	15	34	0.2882705610123292	0.605409196141511	2.3600922252971888	3.69000001
ENSG00000006327	47	6	0.23071161048689137	0.7826667681339347	4.422484030716484	12.505
ENSG00000006377	10	3	0.2764515825465039	0.6872289898809293	1.497040831883551	1.8625
ENSG00000006432	13	5	0.578125	1.2861660618618451	1.2717709325405446	1.38
ENSG00000006451	54	5	0.3814492753623189	1.0710575723476417	2.7094576608700898	14.4625
ENSG00000006453	38	3	0.08201438848920872	0.3276981616583212	2.7110261606953703	6.1274999999999995
ENSG00000006459	53	2	0.367003367003367	0.3011034406359198	1.975128695054453	5.4399999999999995
ENSG00000006468	40	17	0.3965101625697419	1.1057515469045185	3.983390021035815	3.6550000000000002
ENSG00000006530	50	7	0.470712773465067	0.9228698343383711	2.084941097245874	2.95
ENSG00000006534	50	8	0.1473848881472597	0.5453982101420545	2.9987325758346723	5.585
ENSG00000006555	23	3	0.17678684951412216	0.40969128671305977	3.646677131427638	4.55
ENSG00000006576	53	10	0.450450209025619	0.8817046525514044	2.4333673831940685	5.05
ENSG00000006606	19	2	0.1727966689798751	0.46029309177247957	2.03688192726104	1.82
ENSG00000006607	53	16	0.2791687129812611	0.6779329449021967	2.4708805075638782	8.94
ENSG00000006611	19	8	0.42975490508122477	0.664333444056358	3.438474639481599	7.065
ENSG00000006625	54	8	0.23515032264162294	0.32900225909907177	3.1761736486129672	23.529999515
ENSG00000006634	46	4	0.21277262524880358	0.4257703543183592	3.107455482999646	2.7275
ENSG00000006638	31	4	0.3461857177372266	0.7553023154700327	2.89354526921686	2.76
ENSG00000006652	54	14	0.18981467377506978	0.7813448692773447	1.6966629418121082	20.494999999999997
ENSG00000006695	54	5	0.31471763149989873	0.5392075314966935	2.53714833919128	6.2925
ENSG00000006704	53	6	0.25504874651810583	0.29772409088712837	2.484223356286868	6.9750002
ENSG00000006712	54	4	0.07441907178451912	0.23897129153282598	1.9594812736531275	35.15
ENSG00000006715	54	11	0.5553415265651066	0.9428620326149848	2.2395269570269085	13.094999999999999
ENSG00000006740	48	8	0.5727776704252541	0.8948377515854146	2.9402405799686866	4.865
ENSG00000006744	54	13	0.27341345753971563	0.27794086351561187	2.2444727951335146	17.842500004999998
